Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,SOT%,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Final Third,Carries Pen Area,Passes to Pen Area,Crosses to Pen Area
Gabriel Jesus,Arsenal,br BRA,FW,26,2064,11,6,76,31,40.8,14.47,,,2,1080,699,561,80.3,11,,,31,,,4,642,44,,28,22,2
Eddie Nketiah,Arsenal,eng ENG,FW,30,1089,4,1,41,14,34.1,9.76,,,0,407,255,205,80.4,5,,,9,,,0,259,32,,22,6,0
Leandro Trossard,Arsenal,be BEL,FW,20,931,1,10,17,5,29.4,5.88,,,3,567,452,347,76.8,55,,,20,,,6,374,36,,10,30,5
Jorginho,Arsenal,it ITA,MF,14,855,0,1,6,0,0.0,0.0,,,2,807,736,641,87.1,2,,,84,,,5,523,15,,0,12,0
Kieran Tierney,Arsenal,sct SCO,DF,27,795,0,1,7,2,28.6,0.0,,,4,579,486,362,74.5,24,,,35,,,1,316,25,,3,9,1
Takehiro Tomiyasu,Arsenal,jp JPN,DF,21,663,0,1,3,0,0.0,0.0,,,1,557,474,384,81.0,12,,,41,,,2,311,14,,1,6,2
Rob Holding,Arsenal,eng ENG,DF,14,566,1,0,5,2,40.0,20.0,,,2,499,442,382,86.4,0,,,23,,,1,319,3,,1,1,0
Fabio Vieira,Arsenal,pt POR,"MF,FW",22,514,1,2,15,2,13.3,6.67,,,0,356,290,234,80.7,20,,,26,,,2,215,8,,1,7,2
Jakub Kiwior,Arsenal,pl POL,DF,7,427,1,0,1,1,100.0,100.0,,,0,248,205,177,86.3,1,,,6,,,1,141,0,,0,0,0
Reiss Nelson,Arsenal,eng ENG,FW,11,212,3,2,12,7,58.3,25.0,,,0,157,120,101,84.2,12,,,3,,,0,99,19,,8,4,2
Albert Sambi Lokonga,Arsenal,be BEL,MF,6,198,0,0,0,0,,,,,0,154,140,132,94.3,0,,,17,,,1,96,0,,0,1,0
Emile Smith Rowe,Arsenal,eng ENG,"MF,FW",12,172,0,2,4,1,25.0,0.0,,,0,102,85,74,87.1,5,,,3,,,0,68,2,,0,4,0
Mohamed Elneny,Arsenal,eg EGY,MF,5,113,0,0,0,0,,,,,0,63,60,57,95.0,0,,,3,,,0,38,1,,0,2,0
Cédric Soares,Arsenal,pt POR,DF,2,29,0,0,0,0,,,,,0,27,24,19,79.2,3,,,0,,,0,14,1,,0,0,0
Marquinhos,Arsenal,br BRA,MF,1,1,0,0,0,0,,,,,0,3,3,2,66.7,0,,,0,,,0,2,0,,0,0,0
Ethan Nwaneri,Arsenal,eng ENG,FW,1,1,0,0,0,0,,,,,0,1,0,0,,0,,,0,,,0,0,0,,0,0,0
Ezri Konsa,Aston Villa,eng ENG,DF,38,3322,0,0,8,0,0.0,0.0,,,4,2192,1898,1681,88.6,4,,,70,,,1,1375,7,,0,4,2
Tyrone Mings,Aston Villa,eng ENG,DF,35,3150,1,2,7,2,28.6,14.29,,,3,2228,1899,1617,85.2,3,,,106,,,1,1379,20,,3,6,0
Emiliano Martínez,Aston Villa,ar ARG,GK,36,3139,0,0,0,0,,,,,5,1479,1388,1026,73.9,0,,,21,,,1,851,0,,0,0,0
Ollie Watkins,Aston Villa,eng ENG,FW,37,3127,15,6,84,45,53.6,17.86,,,3,927,566,391,69.1,9,,,23,,,0,475,50,,32,16,2
Douglas Luiz,Aston Villa,br BRA,MF,37,2927,6,6,34,12,35.3,17.65,,,3,2117,1812,1494,82.5,106,,,123,,,6,1142,48,,4,19,4
John McGinn,Aston Villa,sct SCO,"MF,FW",34,2693,1,3,42,11,26.2,2.38,,,7,1348,1028,805,78.3,50,,,114,,,11,804,34,,8,20,5
Jacob Ramsey,Aston Villa,eng ENG,"MF,FW",35,2636,6,7,33,13,39.4,18.18,,,6,1245,889,728,81.9,18,,,67,,,3,752,94,,21,28,4
Emi Buendía,Aston Villa,ar ARG,"MF,FW",38,2412,5,2,49,11,22.4,10.2,,,3,1336,1020,787,77.2,18,,,84,,,11,829,60,,19,41,0
Ashley Young,Aston Villa,eng ENG,DF,29,2036,1,0,15,3,20.0,6.67,,,8,1411,1188,897,75.5,42,,,82,,,2,701,29,,4,18,5
Leon Bailey,Aston Villa,jm JAM,"FW,MF",33,1967,4,4,51,14,27.5,7.84,,,0,813,547,337,61.6,96,,,19,,,4,521,85,,38,21,15
Matty Cash,Aston Villa,pl POL,DF,26,1820,0,1,7,1,14.3,0.0,,,3,1215,1006,777,77.2,46,,,57,,,2,610,42,,4,15,9
Boubacar Kamara,Aston Villa,fr FRA,MF,24,1777,0,1,4,1,25.0,0.0,,,0,1145,941,798,84.8,1,,,61,,,2,622,16,,1,6,0
Lucas Digne,Aston Villa,fr FRA,DF,28,1502,1,0,8,3,37.5,12.5,,,1,1096,927,696,75.1,77,,,40,,,0,552,29,,2,23,14
Álex Moreno,Aston Villa,es ESP,DF,19,1329,0,3,13,3,23.1,0.0,,,2,949,745,581,78.0,48,,,15,,,1,510,65,,16,30,14
Danny Ings,Aston Villa,eng ENG,FW,18,824,6,0,25,12,48.0,24.0,,,0,267,162,114,70.4,4,,,7,,,4,163,15,,9,4,0
Philippe Coutinho,Aston Villa,br BRA,"MF,FW",20,788,1,0,21,8,38.1,4.76,,,2,500,384,288,75.0,19,,,30,,,5,309,18,,5,8,2
Leander Dendoncker,Aston Villa,be BEL,MF,20,697,0,0,2,0,0.0,0.0,,,1,365,284,248,87.3,2,,,17,,,0,171,1,,1,0,0
Calum Chambers,Aston Villa,eng ENG,"DF,MF",14,353,0,0,2,0,0.0,0.0,,,3,245,207,157,75.8,4,,,9,,,0,139,6,,0,2,1
Robin Olsen,Aston Villa,se SWE,GK,4,281,0,0,0,0,,,,,2,141,131,74,56.5,0,,,2,,,0,80,0,,0,0,0
Bertrand Traoré,Aston Villa,bf BFA,"FW,MF",8,233,2,0,9,3,33.3,22.22,,,1,114,75,59,78.7,5,,,1,,,0,81,9,,5,5,3
Diego Carlos,Aston Villa,br BRA,DF,3,205,0,0,4,0,0.0,0.0,,,1,156,142,112,78.9,1,,,9,,,0,100,1,,0,1,0
Jáder Durán,Aston Villa,co COL,"FW,MF",12,136,0,0,7,2,28.6,0.0,,,0,57,29,16,55.2,2,,,1,,,0,33,4,,1,1,0
Jan Bednarek,Aston Villa,pl POL,DF,3,100,0,0,0,0,,,,,0,79,66,60,90.9,0,,,4,,,0,47,1,,0,0,0
Ludwig Augustinsson,Aston Villa,se SWE,DF,3,77,0,0,2,1,50.0,0.0,,,0,51,43,26,60.5,5,,,0,,,0,29,0,,0,0,0
Cameron Archer,Aston Villa,eng ENG,"FW,MF",6,49,0,0,0,0,,,,,0,15,12,8,66.7,1,,,2,,,0,15,3,,1,0,0
Morgan Sanson,Aston Villa,fr FRA,MF,2,11,0,0,0,0,,,,,0,9,7,5,71.4,0,,,0,,,0,5,0,,0,0,0
Jefferson Lerma,Bournemouth,co COL,MF,37,3252,5,0,35,10,28.6,14.29,,,1,1934,1611,1317,81.8,11,,,126,,,7,947,22,,1,23,2
Adam Smith,Bournemouth,eng ENG,DF,37,2943,0,1,5,1,20.0,0.0,,,1,1527,1264,953,75.4,48,,,70,,,0,647,28,,3,28,19
Dominic Solanke,Bournemouth,eng ENG,"FW,MF",33,2860,6,7,76,28,36.8,7.89,,,2,1012,533,363,68.1,13,,,22,,,3,638,70,,36,17,1
Philip Billing,Bournemouth,dk DEN,"MF,FW",36,2764,7,1,38,18,47.4,18.42,,,3,1410,1055,813,77.1,38,,,49,,,5,728,37,,6,9,3
Marcos Senesi,Bournemouth,ar ARG,DF,31,2491,2,0,8,2,25.0,25.0,,,9,1647,1322,1064,80.5,8,,,86,,,1,929,9,,1,4,1
Neto,Bournemouth,br BRA,GK,27,2385,0,0,0,0,,,,,1,895,833,521,62.5,0,,,14,,,0,446,0,,0,2,0
Chris Mepham,Bournemouth,wls WAL,DF,26,2199,0,0,8,4,50.0,0.0,,,3,1336,1041,870,83.6,0,,,42,,,0,650,2,,2,2,0
Lloyd Kelly,Bournemouth,eng ENG,DF,23,2040,0,2,3,0,0.0,0.0,,,4,1394,1164,934,80.2,14,,,73,,,2,705,14,,0,9,3
Ryan Christie,Bournemouth,sct SCO,"MF,FW",32,1834,1,1,33,9,27.3,3.03,,,2,940,651,521,80.0,32,,,43,,,6,559,39,,13,19,2
Marcus Tavernier,Bournemouth,eng ENG,"MF,FW",23,1743,5,4,37,14,37.8,13.51,,,1,1008,724,510,70.4,93,,,34,,,5,592,67,,21,16,5
Lewis Cook,Bournemouth,eng ENG,MF,28,1720,0,2,6,0,0.0,0.0,,,3,935,751,593,79.0,45,,,55,,,1,427,9,,1,14,9
Jordan Zemura,Bournemouth,zw ZIM,DF,19,1454,0,1,4,0,0.0,0.0,,,1,808,594,423,71.2,18,,,32,,,0,375,39,,10,12,5
Kieffer Moore,Bournemouth,wls WAL,FW,27,1279,4,0,23,8,34.8,17.39,,,0,522,360,212,58.9,7,,,16,,,0,252,10,,2,6,0
Jaidon Anthony,Bournemouth,eng ENG,"MF,FW",30,1257,3,1,22,13,59.1,13.64,,,1,717,526,387,73.6,43,,,24,,,2,423,31,,13,19,7
Dango Ouattara,Bournemouth,bf BFA,"MF,FW",19,1241,1,3,26,5,19.2,3.85,,,2,566,334,210,62.9,30,,,20,,,5,301,39,,17,17,8
Jack Stephens,Bournemouth,eng ENG,DF,15,1173,0,0,2,1,50.0,0.0,,,0,665,543,446,82.1,2,,,37,,,2,368,7,,0,3,2
Mark Travers,Bournemouth,ie IRL,GK,12,1035,0,0,0,0,,,,,0,402,368,281,76.4,0,,,5,,,0,182,0,,0,0,0
Joe Rothwell,Bournemouth,eng ENG,MF,20,1016,0,1,3,2,66.7,0.0,,,1,538,457,385,84.2,26,,,34,,,4,285,12,,2,11,1
Ryan Fredericks,Bournemouth,eng ENG,DF,12,533,0,0,0,0,,,,,0,279,220,149,67.7,15,,,5,,,0,120,13,,2,6,1
Matías Viña,Bournemouth,uy URU,DF,12,458,2,0,9,6,66.7,22.22,,,0,289,185,140,75.7,4,,,10,,,0,122,10,,5,4,0
Hamed Junior Traorè,Bournemouth,ci CIV,"FW,MF",7,427,0,0,6,0,0.0,0.0,,,1,246,178,109,61.2,41,,,11,,,5,143,19,,1,10,3
Jack Stacey,Bournemouth,eng ENG,DF,10,299,0,0,1,0,0.0,0.0,,,1,174,130,74,56.9,10,,,6,,,0,74,9,,1,1,1
Illia Zabarnyi,Bournemouth,ua UKR,DF,5,299,0,0,0,0,,,,,1,234,200,184,92.0,0,,,13,,,0,166,1,,0,0,0
Ben Pearson,Bournemouth,eng ENG,MF,7,286,0,0,2,1,50.0,0.0,,,0,162,134,108,80.6,0,,,8,,,0,72,2,,0,0,0
Antoine Semenyo,Bournemouth,gh GHA,"FW,MF",11,258,1,0,3,1,33.3,33.33,,,0,102,57,38,66.7,1,,,5,,,0,58,5,,4,0,0
David Brooks,Bournemouth,wls WAL,"FW,MF",6,173,0,0,5,1,20.0,0.0,,,0,93,63,46,73.0,6,,,4,,,0,61,5,,2,1,0
Siriki Dembélé,Bournemouth,ci CIV,"FW,MF",6,110,0,0,2,2,100.0,0.0,,,0,71,47,37,78.7,3,,,2,,,0,47,5,,1,3,2
Junior Stanislas,Bournemouth,eng ENG,MF,4,61,0,0,1,0,0.0,0.0,,,0,34,28,22,78.6,1,,,3,,,0,18,0,,0,0,0
Jamal Lowe,Bournemouth,jm JAM,"MF,FW",2,12,0,0,0,0,,,,,0,4,4,2,50.0,0,,,0,,,0,2,0,,0,1,0
Owen Bevan,Bournemouth,wls WAL,DF,1,9,0,0,0,0,,,,,0,3,3,2,66.7,0,,,0,,,0,1,0,,0,0,0
Emiliano Marcondes,Bournemouth,dk DEN,MF,1,9,0,0,0,0,,,,,0,3,1,1,100.0,0,,,1,,,0,2,0,,0,0,0
David Raya,Brentford,es ESP,GK,38,3420,0,0,1,0,0.0,0.0,,,4,1722,1640,1054,64.3,0,,,75,,,0,1030,0,,0,3,0
Ben Mee,Brentford,eng ENG,DF,37,3269,3,1,28,7,25.0,10.71,,,6,2122,1761,1348,76.5,7,,,86,,,0,1146,8,,3,7,1
Rico Henry,Brentford,eng ENG,DF,37,3238,0,2,22,4,18.2,0.0,,,6,1582,1203,876,72.8,87,,,73,,,4,782,55,,9,41,18
Ivan Toney,Brentford,eng ENG,FW,33,2951,20,4,87,33,37.9,22.99,,,7,1219,787,468,59.5,34,,,54,,,12,625,14,,8,26,5
Bryan Mbeumo,Brentford,cm CMR,FW,38,2906,9,8,70,32,45.7,12.86,,,7,1335,991,655,66.1,156,,,37,,,7,776,66,,26,45,13
Mathias Jensen,Brentford,dk DEN,MF,37,2803,5,6,23,7,30.4,21.74,,,7,1889,1566,1088,69.5,158,,,117,,,5,901,21,,1,38,16
Ethan Pinnock,Brentford,jm JAM,DF,30,2700,3,0,15,8,53.3,20.0,,,4,1554,1149,914,79.5,10,,,43,,,0,650,2,,0,3,3
Vitaly Janelt,Brentford,de GER,"MF,DF",35,2208,3,1,14,5,35.7,21.43,,,5,1244,1020,812,79.6,22,,,75,,,3,663,14,,2,19,8
Aaron Hickey,Brentford,sct SCO,DF,26,1916,0,1,11,2,18.2,0.0,,,2,1028,838,695,82.9,27,,,62,,,2,616,41,,3,13,4
Christian Nørgaard,Brentford,dk DEN,MF,22,1763,1,3,19,8,42.1,5.26,,,6,1050,812,608,74.9,11,,,68,,,2,454,4,,2,8,2
Yoane Wissa,Brentford,cd COD,FW,38,1606,7,3,32,15,46.9,21.88,,,3,517,344,238,69.2,12,,,21,,,4,312,24,,11,8,0
Josh Dasilva,Brentford,eng ENG,MF,36,1389,4,2,18,6,33.3,22.22,,,1,770,617,491,79.6,33,,,35,,,1,536,60,,9,24,5
Mads Roerslev,Brentford,dk DEN,DF,20,1108,0,0,3,0,0.0,0.0,,,0,426,303,194,64.0,20,,,15,,,2,186,8,,2,7,5
Mathias Jørgensen,Brentford,dk DEN,DF,18,1103,0,0,5,1,20.0,0.0,,,1,612,503,404,80.3,3,,,30,,,0,295,1,,0,0,0
Mikkel Damsgaard,Brentford,dk DEN,"MF,FW",26,988,0,0,12,5,41.7,0.0,,,6,529,407,275,67.6,29,,,36,,,5,279,9,,1,10,1
Frank Onyeka,Brentford,ng NGA,MF,21,848,0,2,9,4,44.4,0.0,,,1,373,257,193,75.1,2,,,23,,,0,198,9,,3,6,0
Kristoffer Ajer,Brentford,no NOR,DF,9,763,0,0,1,0,0.0,0.0,,,1,412,345,259,75.1,6,,,20,,,0,213,10,,0,3,1
Kevin Schade,Brentford,de GER,FW,18,732,0,1,12,4,33.3,0.0,,,1,291,173,103,59.5,15,,,8,,,1,147,24,,15,5,2
Pontus Jansson,Brentford,se SWE,DF,12,724,1,0,4,2,50.0,25.0,,,1,393,321,257,80.1,0,,,11,,,1,192,1,,0,0,0
Shandon Baptiste,Brentford,gd GRN,MF,23,618,0,1,4,1,25.0,0.0,,,2,373,295,247,83.7,11,,,22,,,2,240,8,,3,8,2
Keane Lewis-Potter,Brentford,eng ENG,"FW,MF",10,321,0,1,7,2,28.6,0.0,,,0,138,86,49,57.0,8,,,2,,,1,93,8,,3,3,1
Saman Ghoddos,Brentford,ir IRN,"MF,FW",15,139,0,0,1,1,100.0,0.0,,,0,98,79,59,74.7,7,,,5,,,1,42,1,,0,1,0
Sergi Canós,Brentford,es ESP,"FW,DF",5,77,0,0,1,0,0.0,0.0,,,1,57,43,23,53.5,3,,,2,,,0,29,4,,0,1,0
Mads Bech Sørensen,Brentford,dk DEN,"DF,MF",4,21,0,0,0,0,,,,,0,14,11,7,63.6,0,,,2,,,0,2,0,,0,0,0
Halil Dervişoğlu,Brentford,tr TUR,MF,1,8,0,0,1,0,0.0,0.0,,,0,1,0,0,,0,,,0,,,0,2,0,,1,0,0
Lewis Dunk,Brighton,eng ENG,DF,36,3239,1,0,22,3,13.6,4.55,,,3,3461,3223,2911,90.3,2,,,178,,,4,2294,19,,0,9,1
Pascal Groß,Brighton,de GER,"MF,DF",37,3239,9,8,39,19,48.7,23.08,,,10,2602,2347,1879,80.1,224,,,157,,,9,1453,62,,8,69,13
Moisés Caicedo,Brighton,ec ECU,MF,37,3139,1,1,28,8,28.6,3.57,,,0,2603,2251,1993,88.5,17,,,181,,,11,1507,38,,6,35,7
Alexis Mac Allister,Brighton,ar ARG,MF,35,2886,10,2,80,28,35.0,12.5,,,7,2182,1844,1586,86.0,29,,,151,,,15,1319,69,,8,33,1
Solly March,Brighton,eng ENG,"FW,DF",33,2715,7,7,74,31,41.9,9.46,,,2,1659,1312,951,72.5,155,,,63,,,3,1024,110,,47,52,15
Pervis Estupiñán,Brighton,ec ECU,DF,35,2675,1,5,29,4,13.8,3.45,,,5,2211,1926,1576,81.8,101,,,103,,,5,1292,91,,15,44,19
Kaoru Mitoma,Brighton,jp JPN,"FW,MF",33,2318,7,5,52,21,40.4,13.46,,,6,1312,977,780,79.8,41,,,45,,,4,891,143,,85,28,1
Joël Veltman,Brighton,nl NED,DF,31,2188,1,1,15,5,33.3,6.67,,,7,1740,1512,1261,83.4,23,,,157,,,1,952,43,,2,13,4
Robert Sánchez,Brighton,es ESP,GK,23,2070,0,0,0,0,,,,,5,826,781,604,77.3,0,,,11,,,0,523,0,,0,0,0
Adam Webster,Brighton,eng ENG,DF,27,1985,0,0,18,2,11.1,0.0,,,2,1888,1715,1514,88.3,2,,,120,,,0,1228,19,,0,5,1
Danny Welbeck,Brighton,eng ENG,FW,31,1854,6,3,62,22,35.5,9.68,,,2,693,442,373,84.4,0,,,32,,,6,407,31,,10,15,0
Jason Steele,Brighton,eng ENG,GK,15,1350,0,1,0,0,,,,,3,574,541,478,88.4,0,,,2,,,1,377,0,,0,0,0
Leandro Trossard,Brighton,be BEL,"FW,MF",16,1315,7,2,38,17,44.7,18.42,,,3,697,529,379,71.6,35,,,42,,,9,429,40,,24,25,7
Levi Colwill,Brighton,eng ENG,DF,17,1220,0,2,8,0,0.0,0.0,,,5,1263,1165,1027,88.2,1,,,78,,,2,845,16,,0,3,0
Evan Ferguson,Brighton,ie IRL,FW,19,950,6,2,36,17,47.2,16.67,,,1,344,225,180,80.0,2,,,4,,,1,203,11,,8,6,0
Julio Enciso,Brighton,py PAR,"FW,MF",20,806,4,2,38,18,47.4,10.53,,,1,396,258,179,69.4,12,,,14,,,3,241,39,,17,9,0
Adam Lallana,Brighton,eng ENG,"MF,FW",16,722,2,1,8,5,62.5,25.0,,,2,373,317,262,82.6,3,,,23,,,0,206,10,,4,9,1
Deniz Undav,Brighton,de GER,"FW,MF",22,628,5,0,27,12,44.4,18.52,,,1,231,164,122,74.4,1,,,8,,,3,120,12,,4,3,0
Facundo Buonanotte,Brighton,ar ARG,"FW,MF",13,565,1,1,11,3,27.3,9.09,,,0,258,194,157,80.9,7,,,9,,,0,182,9,,2,10,2
Billy Gilmour,Brighton,sct SCO,MF,14,507,0,1,6,1,16.7,0.0,,,3,453,408,364,89.2,2,,,30,,,2,248,5,,1,6,0
Tariq Lamptey,Brighton,gh GHA,DF,20,453,0,0,5,0,0.0,0.0,,,0,376,302,239,79.1,31,,,14,,,1,232,28,,7,8,5
Jan Paul van Hecke,Brighton,nl NED,DF,8,295,0,0,2,0,0.0,0.0,,,1,288,248,232,93.5,0,,,22,,,0,187,3,,0,0,0
Enock Mwepu,Brighton,zm ZAM,"FW,MF",6,213,0,1,2,1,50.0,0.0,,,0,116,78,61,78.2,3,,,5,,,0,58,5,,1,2,0
Jeremy Sarmiento,Brighton,ec ECU,MF,9,176,0,1,5,2,40.0,0.0,,,0,100,67,53,79.1,3,,,4,,,0,69,5,,1,5,1
Yasin Ayari,Brighton,se SWE,MF,3,67,0,0,1,0,0.0,0.0,,,1,30,23,20,87.0,0,,,4,,,1,19,0,,0,1,0
Odeluga Offiah,Brighton,eng ENG,DF,2,25,0,0,0,0,,,,,0,35,30,24,80.0,0,,,2,,,0,17,1,,0,1,0
Andrew Moran,Brighton,ie IRL,FW,1,12,0,0,0,0,,,,,0,6,2,1,50.0,0,,,0,,,0,3,0,,0,0,0
Cameron Peupion,Brighton,au AUS,MF,1,6,0,0,1,0,0.0,0.0,,,0,6,4,3,75.0,0,,,0,,,0,3,0,,0,0,0
Jack Hinshelwood,Brighton,eng ENG,FW,1,2,0,0,0,0,,,,,0,5,3,1,33.3,0,,,0,,,0,2,0,,0,0,0
Kai Havertz,Chelsea,de GER,"FW,MF",35,2569,7,1,70,31,44.3,10.0,,,3,1258,894,727,81.3,14,,,49,,,2,728,59,,30,26,2
Kepa Arrizabalaga,Chelsea,es ESP,GK,29,2565,0,0,0,0,,,,,0,1119,1046,871,83.3,0,,,6,,,0,654,0,,0,0,0
Thiago Silva,Chelsea,br BRA,DF,27,2352,0,2,15,2,13.3,0.0,,,7,2302,2042,1856,90.9,2,,,115,,,1,1460,8,,0,13,0
Raheem Sterling,Chelsea,eng ENG,"FW,MF",28,1891,6,3,42,16,38.1,14.29,,,2,910,685,514,75.0,46,,,26,,,6,651,81,,39,31,9
Kalidou Koulibaly,Chelsea,sn SEN,DF,23,1800,2,1,11,4,36.4,18.18,,,5,1687,1471,1275,86.7,4,,,83,,,0,1083,10,,0,9,1
Mateo Kovačić,Chelsea,hr CRO,MF,27,1707,1,2,23,1,4.3,4.35,,,1,1492,1319,1130,85.7,6,,,158,,,10,1010,37,,2,23,1
Marc Cucurella,Chelsea,es ESP,DF,24,1671,0,2,7,0,0.0,0.0,,,8,1490,1293,1090,84.3,44,,,77,,,0,787,30,,2,12,6
Mason Mount,Chelsea,eng ENG,"MF,FW",24,1648,3,2,33,9,27.3,9.09,,,4,969,778,585,75.2,64,,,55,,,6,530,48,,11,27,5
Conor Gallagher,Chelsea,eng ENG,MF,35,1621,3,1,28,11,39.3,10.71,,,3,1134,871,706,81.1,49,,,67,,,1,700,40,,12,20,5
Trevoh Chalobah,Chelsea,eng ENG,DF,25,1608,0,0,9,2,22.2,0.0,,,2,1369,1200,1051,87.6,13,,,64,,,0,784,17,,1,3,1
Enzo Fernández,Chelsea,ar ARG,MF,18,1547,0,2,20,3,15.0,0.0,,,3,1616,1440,1269,88.1,14,,,164,,,11,1097,22,,1,25,0
Ruben Loftus-Cheek,Chelsea,eng ENG,"MF,DF",25,1536,0,1,9,2,22.2,0.0,,,5,1068,907,782,86.2,19,,,78,,,1,651,56,,10,18,1
César Azpilicueta,Chelsea,es ESP,DF,25,1527,0,0,9,1,11.1,0.0,,,3,1245,1065,872,81.9,26,,,40,,,0,612,23,,0,19,5
Ben Chilwell,Chelsea,eng ENG,"DF,MF",23,1408,2,2,16,4,25.0,12.5,,,5,1133,977,762,78.0,92,,,42,,,2,629,43,,8,10,7
Jorginho,Chelsea,it ITA,MF,18,1279,2,0,3,1,33.3,66.67,,,3,1026,884,749,84.7,2,,,87,,,2,546,13,,1,9,0
Reece James,Chelsea,eng ENG,"DF,MF",16,1244,1,1,16,4,25.0,6.25,,,4,1187,1051,891,84.8,91,,,60,,,0,710,52,,9,24,6
Wesley Fofana,Chelsea,fr FRA,DF,15,1183,1,0,6,2,33.3,16.67,,,1,1013,872,779,89.3,3,,,50,,,0,686,29,,1,2,0
João Félix,Chelsea,pt POR,"FW,MF",16,941,4,0,46,16,34.8,8.7,,,3,497,356,274,77.0,19,,,29,,,5,326,34,,9,17,1
Benoît Badiashile,Chelsea,fr FRA,DF,11,905,1,0,6,2,33.3,16.67,,,1,945,860,769,89.4,2,,,47,,,1,630,11,,0,5,0
Edouard Mendy,Chelsea,sn SEN,GK,10,855,0,0,0,0,,,,,0,307,289,233,80.6,0,,,4,,,0,171,0,,0,0,0
Christian Pulisic,Chelsea,us USA,"FW,DF",24,821,1,1,19,6,31.6,5.26,,,3,429,301,238,79.1,18,,,14,,,1,299,35,,14,3,1
Hakim Ziyech,Chelsea,ma MAR,"FW,MF",18,661,0,3,16,3,18.8,0.0,,,4,505,400,258,64.5,66,,,20,,,4,303,20,,7,19,7
Mykhailo Mudryk,Chelsea,ua UKR,"FW,MF",15,657,0,2,14,5,35.7,0.0,,,1,323,216,161,74.5,25,,,10,,,1,194,25,,7,10,0
Lewis Hall,Chelsea,eng ENG,DF,9,654,0,0,11,5,45.5,0.0,,,1,533,427,343,80.3,34,,,25,,,0,320,19,,6,9,4
Noni Madueke,Chelsea,eng ENG,FW,12,643,1,0,12,6,50.0,8.33,,,0,405,286,223,78.0,19,,,11,,,0,278,48,,26,13,0
Pierre-Emerick Aubameyang,Chelsea,ga GAB,FW,15,554,1,0,16,7,43.8,6.25,,,0,161,111,82,73.9,3,,,2,,,0,86,9,,4,2,1
N'Golo Kanté,Chelsea,fr FRA,MF,7,518,0,1,8,1,12.5,0.0,,,2,404,338,271,80.2,11,,,23,,,2,230,19,,2,11,3
Denis Zakaria,Chelsea,ch SUI,MF,7,411,0,0,2,0,0.0,0.0,,,0,218,179,158,88.3,1,,,8,,,1,140,9,,2,0,0
Carney Chukwuemeka,Chelsea,eng ENG,"MF,FW",14,354,0,0,5,1,20.0,0.0,,,0,262,203,179,88.2,3,,,11,,,0,154,21,,3,7,2
Armando Broja,Chelsea,al ALB,FW,12,294,1,0,6,5,83.3,16.67,,,0,110,53,33,62.3,0,,,1,,,0,54,8,,5,1,0
David Datro Fofana,Chelsea,ci CIV,FW,3,70,0,0,3,1,33.3,0.0,,,0,33,9,7,77.8,1,,,0,,,1,24,2,,3,2,0
